"Kabupaten/Kota","Rumah Makan","Restoran","Wisatawan Mancanegara(Object Wisata)","Wisatawan Nusantara(Object Wisata)","Wisatawan Mancanegara(Akomodasi)","Wisatawan Nusantara(Akomodasi)"
Bogor,"47","326","0","28376","0","0"
Sukabumi,"43","21","586","738782","1640","680942"
Cianjur,"193","42","29461","1041740","13114","412493"
Bandung,"93","40","3089","1270937","4588","141417"
Garut,"150","10","94","1907007","94","2697"
Tasikmalaya,"35","2","134","658170","116","3410"
Ciamis,"47","5","2","616643","0","35134"
Cirebon,"205","52","0","352426","1237","105737"
Majalengka,"78","3","0","375000","0","3016"
Sumedang,"89","2","9","248080","2400","4296"
Subang,"357","3","1086","310977","238","83070"
Purwakarta,"84","35","154","845333","7802","127763"
Karawang,"265","190","92","1426983","43055","267849"
Bandung Barat,"43","152","23431","3440529","1254","648213"
Bogor,"120","78","34400","1249690","40684","2132948"
Sukabumi,"80","13","100","107386","71","0"
Bandung,"211","263","0","2431290","1633698","5665800"
Cimahi,"38","28","29","48148","62","17462"
Tasikmalaya,"111","40","15","32860","35","15724"
Banjar,"47","1","0","9832","9","6136"
