Kabupaten/Kota,Rumah Makan,Restoran,Wisatawan Mancanegara (OW),Wisatawan Nusantara (OW),Wisatawan Mancanegara (KA),Wisatawan Nusantara (KA)
Bogor, 47 , 326 ,0,28376,0,0
Sukabumi, 43 , 21 ,586,738782,"1,640","680,942"
Cianjur, 193 , 42 ,29461,1041740,"13,114","412,493"
Bandung, 93 , 40 ,3089,1270937,"4,588","141,417"
Garut, 150 , 10 ,94,1907007,94,"2,697"
Tasikmalaya, 35 , 2 ,134,658170, 116 ," 3,410 "
Ciamis, 47 , 5 ,2,616643, - ," 35,134 "
Kuningan, - , 6 ,27,1270547, 22 ,"198,519"
Cirebon, 205 , 52 ,0,352426,"1,237"," 105,737 "
Majalengka, 78 , 3 ,0,375000, - ,"3,016"
Sumedang, 89 , 2 ,9,248080,"2,400","4,296"
Indramayu, 54 , - ,22,210344,1,"19,787"
Subang, 357 , 3 ,1086,310977,238,"83,070"
Purwakarta, 84 , 35 ,154,845333,"7,802","127,763"
Karawang, 265 , 190 ,92,1426983,"43,055","267,849"
Bekasi, - , 200 ,0,127500, - ,"1,699,274"
Bandung Barat, 43 , 152 ,23431,3440529," 1,254 ","648,213"
Pangandaran, 204 , - ,514,2929992, - , - 
Bogor, 120 , 78 ,34400,1249690,"40,684","2,132,948"
Sukabumi, 80 , 13 ,100,107386,71,0
Bandung, 211 , 263 ,0,2431290,"1,633,698","5,665,800"
Cirebon, - , 178 ,161,326168,"45,304","281,695"
Bekasi ," 1,325 ", 819 ,15,42065,"15,598","387,794"
Depok, - ," 1,300 ",55,215411, 646 ,"310,493"
Cimahi, 38 , 28 ,29,48148, 62 ,"17,462"
Tasikmalaya, 111 , 40 ,15,32860,35,"15,724"
Banjar, 47 , 1 ,0,9832,9," 6,136 "
,,,,,,
